date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-21,Munchies,1237,Namkeen Snacks,29,30315,490545,"Crax Double Mazza Roasted Chana Peanuts Namkeen Snacks",2148118,55,55,1,9,0,https://cdn.grofers.com/da/cms-assets/cms/product/fd10dd62-90cf-42f9-8ecf-e862ae143587.png,Crax,Crax
2025-07-21,Munchies,1237,Namkeen Snacks,29,30315,25469,"Garden Onion Pakoda Namkeen / Chakli",1911213,48,50,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/6c42a6fd-1d9b-48f1-a1c5-f5b40ee41afa.png,Garden,Garden
2025-07-21,Munchies,1237,Namkeen Snacks,29,30315,19289,"Haldiram's Peanuts, Namkeen",1912190,110,110,1,11,0,https://cdn.grofers.com/da/cms-assets/cms/product/750763e7-f561-48b5-9e5a-338b884a455b.png,Haldiram's,Haldiram's
2025-07-21,Munchies,1237,Namkeen Snacks,29,30315,500525,"Let's Try Roasted Bhuna Chana",828877,93,150,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/1deee8bc-6efe-4656-81ab-db43ff4d137b.png,Let's Try,Let's Try
2025-07-21,Munchies,1237,Namkeen Snacks,29,30315,552688,"Let's Try Purani Delhi Papdi",837315,102,150,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/2772eb6b-eedb-4320-baca-76d0931ab267.png,Let's Try,Let's Try
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,25678,"Haldiram's Punjabi Masala Papad",223853,65,65,1,19,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/8ba69483-4edb-4d43-ab78-17d38bad99bb.jpg?ts=1708588995,Haldiram's,Haldiram's
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,481020,"DNV Appalam Papad",538573,40,50,1,7,0,https://cdn.grofers.com/app/images/products/sliding_image/481020a.jpg?ts=1688628165,DNV,DNV
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,481019,"DNV Sabudana Papad",224021,43,50,1,12,0,https://cdn.grofers.com/app/images/products/sliding_image/481019a.jpg?ts=1687951096,DNV,DNV
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,15558,"Lijjat Moong Dal Papad",1396457,77,77,1,11,0,https://cdn.grofers.com/app/images/products/sliding_image/15558a.jpg?ts=1690814371,Lijjat,Lijjat
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,138835,"Lijjat Plain Urad Dal Papad",1396473,77,77,1,13,0,https://cdn.grofers.com/app/images/products/sliding_image/138835a.jpg?ts=1688469112,Lijjat,Lijjat
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,41405,"Haldiram's Medium Masala Papad",223884,65,65,1,6,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/eb508c8a-159e-4cd2-aa41-61f823ce5910.jpg?ts=1708592056,Haldiram's,Haldiram's
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,18925,"Lijjat Punjabi Masala Papad",223837,89,89,1,4,0,https://cdn.grofers.com/app/images/products/sliding_image/18925a.jpg?ts=1690813375,Lijjat,Lijjat
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,501328,"Ramji Pani Puri Papad",677464,34,45,1,6,0,https://cdn.grofers.com/app/images/products/sliding_image/501328a.jpg,Ramji,Ramji
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,18725,"Mother's Recipe Potato Papad",223836,34,34,1,2,0,https://cdn.grofers.com/app/images/products/sliding_image/18725a.jpg?ts=1687948393,Mother's Recipe,Mother's Recipe
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,500884,"Ramji Mix Fryums",676478,58,80,1,5,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/5fef28f3-f426-4f1d-89d4-fa83379b520f.jpg?ts=1709714331,Ramji,Ramji
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,501327,"Ramji Net Fryums",677419,58,80,1,1,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/8b334df8-0608-49d3-a826-1bd9c432fd6a.jpg?ts=1709714331,Ramji,Ramji
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,481018,"DNV Red Chilli Sabudana Papad",538575,21,50,1,1,0,https://cdn.grofers.com/app/images/products/sliding_image/481018a.jpg?ts=1688628165,DNV,DNV
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,547197,"Ramji Sabudana Potato Papad",1396711,79,110,1,3,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/5abc5fba-3850-4f06-92d0-4c77291a6a9c.jpg?ts=1715926114,Ramji,Ramji
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,500883,"Ramji Wheel Fryums",676477,58,80,1,1,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/e46433c4-01f3-453f-b5b8-83be8f1104ff.jpg?ts=1709714331,Ramji,Ramji
2025-07-21,Munchies,1237,Papad & Fryums,80,30315,546158,"Ramji Sabudana Papad",814846,79,110,1,1,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/84381f14-f64b-4f2c-82a3-9c90e153ac10.jpg?ts=1714720708,Ramji,Ramji
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,626574,"Sweet Karam Coffee Andhra Spicy Murukku",1905724,92,99,1,6,0,https://cdn.grofers.com/da/cms-assets/cms/product/70648e69-60f9-4578-bfff-e44235b750a8.png,Sweet Karam Coffee,Sweet Karam Coffee
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,11150,"Uncle Chipps Spicy Treat Flavour Potato Chips",527890,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/871988d1-1b77-476f-8dec-922930ad2c4b.png,Uncle Chipps,Uncle Chipps
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,67372,"Kurkure Masala Munch Crisps",1910366,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/870a38da-a236-44f8-aa67-851f0adacbba.png,Kurkure,Kurkure
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,289152,"Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips",782262,20,20,1,30,0,https://cdn.grofers.com/da/cms-assets/cms/product/b4992782-f47e-4fda-a0c6-4c9e422b9654.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,432774,"Lay's American Style Cream & Onion Potato Chips",561608,30,30,1,46,0,https://cdn.grofers.com/da/cms-assets/cms/product/8e3a3fc7-66cf-403f-ae22-a5ccb07103c7.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,57435,"Lay's Classic Salted Potato Chips",561720,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/f55e87f5-ecab-4d91-aca9-62883084374d.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,574,"Lay's Chile Limon Flavour Potato Chips",682288,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/0293e130-cbdc-402a-af48-bdd7da6e5462.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,223819,"Lay's Crispz Herb & Onion Potato Chips",816470,20,20,1,42,0,https://cdn.grofers.com/da/cms-assets/cms/product/e4a25547-0e12-4299-a2ab-3ee7d7ffbe66.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,367837,"Kurkure Puffcorn Yummy Cheese Puffs",1910340,20,20,1,50,0,https://cdn.grofers.com/da/cms-assets/cms/product/38f3be41-8612-44c0-9e54-69abedfb07a5.png,Kurkure,Kurkure
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,564326,"Kettle Studio Tabasco Sauce Flavour Potato Chips",1082805,99,99,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/65ad539e-1799-4106-a713-fa486c28d965.png,Kettle Studio,Kettle Studio
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,432775,"Lay's India's Magic Masala Potato Chips",438085,30,30,1,37,0,https://cdn.grofers.com/da/cms-assets/cms/product/7806dadc-a3c9-4cec-869f-90879c1f345c.png,Lay's,Lay's
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,116824,"Kurkure Chilli Chatka Crisps",1910333,20,20,1,41,0,https://cdn.grofers.com/da/cms-assets/cms/product/5ce79c46-e60f-43dc-bdfe-f11985feb790.png,Kurkure,Kurkure
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,496951,"Let's Try Potato Chips /Wafers",2159870,44,60,1,16,0,https://cdn.grofers.com/da/cms-assets/cms/product/bb55af8f-b7d7-49e6-824c-c4a7d84b6bfc.png,Let's Try,Let's Try
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,534449,"Uncle Chipps Plain Salted Potato Chips",634986,40,50,1,13,0,https://cdn.grofers.com/da/cms-assets/cms/product/d142587a-9582-41fe-b8c5-c054a189f89b.png,Uncle Chipps,Uncle Chipps
2025-07-21,Munchies,1237,Chips & Crisps,940,30315,486104,"Kettle Studio Lime & Chilli Banana Chips",2173143,99,99,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/cbba0df5-cf09-4a85-a81b-adf31ee86948.png,Kettle Studio,Kettle Studio
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,570799,"Original Ghee Mysore Pak by Sweet Karam Coffee",1149826,122,149,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/0886b60d-0fa7-4794-97d8-bd39741d56fa.jpg?ts=1752486016,Sweet Karam Coffee,Sweet Karam Coffee
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,427611,"Malai Peda by Amul",661510,120,120,1,11,0,https://cdn.grofers.com/da/cms-assets/cms/product/2c8ec89f-04f3-45b0-9ba1-708de034b4ac.jpg?ts=1740744408,Amul,Amul
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,476267,"Kaju Katli by Haldiram's",661690,224,250,1,13,0,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3c49f5a8-c8d2-41f3-ad3f-bb0ac8612119.jpg?ts=1725453503,Haldiram's,Haldiram's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,391414,"Classic Besan Laddu by Lal",749354,88,90,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/50bbfa0e-d80b-4085-bb20-ca68a4b7fde2.jpg?ts=1748860970,Lal,Lal
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,528730,"Premium Dry Petha by Gulab",749713,88,160,1,7,0,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9de67ce1-3cf8-43cc-83c6-9016044c981c.jpg?ts=1724314137,Gulab,Gulab
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,406267,"Agra Petha by Haldiram's",661498,154,260,1,1,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9133b3af-f5a1-4fd1-be8f-64665b4f69aa.jpg?ts=1723014497,Haldiram's,Haldiram's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,673347,"Soan Papdi by Bikano",2131619,49,55,1,6,0,https://cdn.grofers.com/da/cms-assets/cms/product/3df8ffbe-226b-4326-a7e4-4ee938fcf347.jpg,Bikano,Bikano
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,529329,"Classic Soan Papdi by Lal",752500,78,80,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/438a2c98-9602-4c7f-8d89-015fa9708833.jpg?ts=1748860710,Lal,Lal
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,427612,"Kesar Peda by Amul",661511,125,125,1,10,0,https://cdn.grofers.com/da/cms-assets/cms/product/db0ea4f1-0f80-4b3e-9879-3225686486bd.jpg?ts=1740744409,Amul,Amul
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,392583,"Gulab Jamun by Haldiram's",661630,225,225,1,10,0,https://cdn.grofers.com/app/images/products/sliding_image/392583a.jpg?ts=1699272268,Haldiram's,Haldiram's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,554127,"Coconut Ghee Burfi by Daadi's",880162,158,180,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/2e939451-3ce1-4fc4-adfc-f6b623f22201.jpg?ts=1740745225,Daadi's,Daadi's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,385101,"Open & Eat Gulab Jamun by Gits",661476,205,255,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/f601d332-8116-45ea-9879-ace00c409ed7.jpg?ts=1729878523,Gits,Gits
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,374937,"Dry Fruit Besan Laddu by Haldiram's",661459,206,350,1,3,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/fc2f4a57-0011-47aa-adc8-9c4214ce4c44.jpg?ts=1724675845,Haldiram's,Haldiram's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,627,"Rasgulla by Haldiram's",661631,240,240,1,1,0,https://cdn.grofers.com/app/images/products/sliding_image/627a.jpg?ts=1699339837,Haldiram's,Haldiram's
2025-07-21,Sweet Tooth,9,Indian Sweets,943,30315,532864,"Royal Gulab Jamun by Bikano",775914,203,375,1,7,0,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cb0e8240-d96c-4cb1-a5c7-77518e94d7ec.jpg?ts=1726835056,Bikano,Bikano
